Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
37,Tanuki Chan,lordtanukisama,https://www.tiktok.com/@lordtanukisama,Damm so eine bodenständige Komponente Person hab ich gerne als Bundeskanzlerin.,02.09.21,15,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/61dce6347d6b1168c5dee6c90a522de9~c5_100x100.jpg?x-expires=1702054800&x-signature=sTpPKZr%2B3fMRav%2FS9agb%2BbRw6Zs%3D,No,---,0
38,Mick Schumacher,mickismydaddy,https://www.tiktok.com/@mickismydaddy,Ob ihre Regenjacke Klimaneutral hergestellt wurde,02.09.21,24,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3dc4c45ead5e2a1f987cd9ea736751d7~c5_100x100.jpg?x-expires=1702054800&x-signature=1YbNVOnN2eOvJchs7j8fqoVpe7k%3D,No,---,0
39,David,david_b.666,https://www.tiktok.com/@david_b.666,SMS schreiben und sich wundern wie es geht eine App zu installieren. Und die soll Kanzlerin werden.,02.09.21,9,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/smg3fe58935bb504d86b258d0ca81eb5409.jpg?x-expires=1702054800&x-signature=AU3ZoMlKazAOPydWwUROoai%2FGeg%3D,No,---,0
40,Ole,koelnole,https://www.tiktok.com/@koelnole,@elias_prth meintest du das? Ist doch eigentlich voll süß,13.09.21,5,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1ab0dbd04f62e0b686eec80994306dd1~c5_100x100.jpg?x-expires=1702054800&x-signature=GSlP8m4uJbuVpz0NHb5LSBX3ygo%3D,No,---,0
41,_janhx_,_janhx_,https://www.tiktok.com/@_janhx_,die hat keine nummer von berühmten weil keiner du nummer von den grünen haben will,02.09.21,35,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/6463c3396d7f7c6649b2ec8a1a56e74f~c5_100x100.jpg?x-expires=1702054800&x-signature=MAYMiH4Hxpt2zjjEhgXcsyllRGM%3D,No,---,0
42,Name,crashpo,https://www.tiktok.com/@crashpo,Lol viele schreiben hier so „die Frau ist sympathisch, aber die Partei nicht“ ich finds ehrlich gesagt anders rum 😅😂,02.09.21,51,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/4b7f88aaa094bf1f6dbe6953895c5288.jpg?x-expires=1702054800&x-signature=FR8axKL8QMVcTcU24fqHB7RxUA4%3D,No,---,0
43,FnCs,mr.magic5113,https://www.tiktok.com/@mr.magic5113,Also man muss zugeben, dass sie als Privatperson schon sympathisch ist.,02.09.21,51,https://p16-amd-va.tiktokcdn.com/img/user-avatar-musically/2747ac76b950d4fb913766d212c4e5b6~120x256.image,No,---,0
44,liltik50,liltik50,https://www.tiktok.com/@liltik50,💚💚💚,02.09.21,19,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/6982961986585755653~c5_100x100.jpg?x-expires=1702054800&x-signature=6rHCQIY2PcXlEcQE6CFSWGvI04g%3D,No,---,0
45,🚗,jul1us128,https://www.tiktok.com/@jul1us128,Junge warum schreit die so hilfe,02.09.21,14,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/9204a2c27f5c90725945e24bc1b15103~c5_100x100.jpg?x-expires=1702054800&x-signature=zgkyR4ukDd2TYv75gIQEwvJKxOs%3D,No,---,0
46,Antonia,antoniaaa.frz,https://www.tiktok.com/@antoniaaa.frz,Leute es geht ni um Sympathie sondern um Kompetenz und Fähigkeit. Und die hat sie ganz klar ni!,02.09.21,17,https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/2f00b02e65890966811770acdb510b24~c5_100x100.jpg?x-expires=1702054800&x-signature=gmxJDsSZz89JknjKAbmm28g%2Bh4E%3D,No,---,0
